21
1   Al2O3
2   Fe
3   H2O
4   Mg2SiO4
5   MgSiO3
6   Mg2SiO4rich
7   NH3
8   MgSiO3Cry
9   Fe2O3_WS15
10  Mg2SiO4Cry
11  MgSiO3Cry_s2
12  SiO2_WS15
13  MgAl2O4_WS15
14  TiO2_WS15
15  Na2S
16  CaTiO3
17  MnS-newIR
18  KCl
19  ZnS
20  SiO
99  mixto
